2016-01-08 01:58:14 INFO  LoginPage:38 - Login page opened
2016-01-08 01:58:54 INFO  LastFmTest:34 - expected user SerP_94 isLoggedIn to be true, actual value is true
2016-01-08 01:58:55 INFO  Steps:35 - Browser closed
2016-01-08 02:04:41 INFO  Steps:29 - Browser started
2016-01-08 02:04:51 INFO  LoginPage:38 - Login page opened
2016-01-08 02:05:01 INFO  UserPage:57 - User page opened
2016-01-08 02:05:20 INFO  LastFmTest:57 - Comment is posted successfully
2016-01-08 02:05:22 INFO  Steps:35 - Browser closed
2016-01-08 02:14:30 INFO  Steps:29 - Browser started
2016-01-08 02:14:37 INFO  LoginPage:38 - Login page opened
2016-01-08 02:14:47 INFO  UserPage:57 - User page opened
2016-01-08 02:15:04 INFO  LastFmTest:57 - Comment is posted successfully
2016-01-08 02:15:05 INFO  Steps:35 - Browser closed
2016-01-08 02:17:36 INFO  Steps:29 - Browser started
2016-01-08 02:17:42 INFO  LoginPage:38 - Login page opened
2016-01-08 02:18:00 INFO  UserPage:57 - User page opened
2016-01-08 02:18:17 ERROR LastFmTest:59 - Comment is not posted
2016-01-08 02:18:18 INFO  Steps:35 - Browser closed
2016-01-08 02:20:52 INFO  Steps:29 - Browser started
2016-01-08 02:20:52 INFO  LoginPage:38 - Login page opened
2016-01-08 02:21:20 INFO  UserPage:57 - User page opened
2016-01-08 02:21:38 ERROR LastFmTest:59 - Comment is not posted
2016-01-08 02:21:39 INFO  Steps:35 - Browser closed
2016-01-08 02:25:39 INFO  Steps:29 - Browser started
2016-01-08 02:25:46 INFO  LoginPage:38 - Login page opened
2016-01-08 02:26:01 INFO  UserPage:57 - User page opened
2016-01-08 02:27:08 INFO  LastFmTest:57 - Comment is posted successfully
2016-01-08 02:33:01 INFO  Steps:29 - Browser started
2016-01-08 02:33:09 INFO  LoginPage:38 - Login page opened
2016-01-08 02:33:59 INFO  UserLibraryPage:50 - User library page opened
2016-01-08 02:34:09 INFO  UserLibraryPage:50 - User library page opened
2016-01-08 02:34:15 INFO  LastFmTest:86 - Song is posted successfully
2016-01-08 02:34:20 INFO  UserLibraryPage:50 - User library page opened
2016-01-08 02:34:27 INFO  Steps:35 - Browser closed
2016-01-08 02:40:51 INFO  Steps:29 - 
==========================================
Browser started
2016-01-08 02:41:00 INFO  LoginPage:38 - Login page opened
2016-01-08 02:41:37 INFO  UserLibraryPage:50 - User library page opened
2016-01-08 02:41:42 INFO  UserLibraryPage:50 - User library page opened
2016-01-08 02:41:47 INFO  LastFmTest:91 - Song is deleted successfully
2016-01-08 02:41:49 INFO  UserLibraryPage:50 - User library page opened
2016-01-08 02:41:56 INFO  Steps:35 - Browser closed
